企業名,売上高(JPY),本店住所
信越化学工業株式会社,637990000000,東京都千代田区大手町二丁目６番１号
協和発酵キリン株式会社,210616000000,東京都千代田区大手町一丁目６番１号 （上記は登記上の本店所在地であり、主な本社業務は下記「最寄りの連絡場所」において行っております。）
ヒューリック株式会社,253639000000,東京都中央区日本橋大伝馬町７番３号
中外製薬株式会社,526052000000,東京都北区浮間五丁目５番１号（上記は登記簿上の本店所在地であり、事実上の本社業務は下記「最寄りの連絡場所」において行っております。）
株式会社ブリヂストン,858081000000,東京都中央区京橋三丁目１番１号
株式会社資生堂,220407000000,東京都中央区銀座七丁目５番５号
株式会社クラレ,242657000000,岡山県倉敷市酒津1621番地
アース製薬株式会社,115685000000,東京都千代田区神田司町二丁目12番地１
花王株式会社,919844000000,東京都中央区日本橋茅場町一丁目14番10号
昭和シェル石油株式会社,1908970000000,東京都港区台場二丁目３番２号
ユニ・チャーム株式会社,338846000000,愛媛県四国中央市金生町下分182番地（上記は登記上の本店所在地であり実際の本社業務は下記の場所で行っております。）東京都港区三田三丁目5番27号住友不動産三田ツインビル西館
株式会社クラレ,242657000000,岡山県倉敷市酒津1621番地
中外製薬株式会社,526052000000,東京都北区浮間五丁目５番１号（上記は登記簿上の本店所在地であり、事実上の本社業務は下記「最寄りの連絡場所」において行っております。）
